工作,薪水,工作标签,公司介绍,职位描述,工作地址
python,20000-40000元,五险一金/补充医疗保险/定期体检/年终奖/股票期权/带薪年假/员工旅游/免费班车/餐补/交通补助/节日福利/住房补贴,"小米公司成立于2010年4月，是一家有实体经济的互联网公司。小米公司是专注于智能手机、智能家居、互联网电视的创新型科技企业。同时，在互联网金融（支付、信贷、保险、理财等）、互娱和影业等领域也积极布局，并初具规模。小米用互联网开发模式、极客精神研发产品，致力于让每个人都能享受科技的乐趣。
2011年","本科学历或更高，计算机、数学、通信等相关理工科专业毕业；
具备良好的计算机基础知识，熟悉常用的数据结构和算法；
熟练掌握Python语言；
熟练掌握Django/Flask/Tornado等框架中的一个或多个；
熟练使用Linux常用命令；
熟练使用Git管理代码；
熟练使用MySQL，MongoDB，Redis；
熟悉HTML/CSS/JS等基本前端技术栈；
熟练阅读英文文档；
具备较强的需求分析能力和沟通能力，耐心细致、团队意识强，有很强的责任心。",北京市 海淀区 清河中街
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-15000元,,"上海易宝软件有限公司是由同济大学和易宝系统（中国）有限公司（香港上市公司）联合创办的一家专门提供软件开发、测试服务的高新技术企业。
公司主要承接海外著名跨国集团的大型软件项目，同时也为欧美、香港、新加坡及国内企业提供软件开发服务。公司成立近6年来，不仅积累大量的软件开发经验，还通过导入CMMI标准",Python开发岗位，要求统招二本以上学历，华为项目，东莞松山湖光大we谷工作,东莞市 东莞市 光大·We谷 B栋B1-14楼
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,20000-30000元,五险一金/补充医疗保险/定期体检/全勤奖/年终奖/带薪年假/员工旅游/免费班车/餐补/通讯补贴/交通补助/节日福利,"深圳市腾讯计算机系统有限公司成立于1998年11月，由马化腾、张志东、许晨晔、陈一丹、曾李青五位创始人共同创立。 是中国最大的互联网综合服务提供商之一，也是中国服务用户最多的互联网企业之一。
腾讯多元化的服务包括：社交和通信服务QQ及微信/WeChat、社交网络平台QQ空间、腾讯游戏旗下QQ游戏平","负责大规模运维系统开发，包括cmdb，发布，监控，容量管理等
具备分布式系统架构能力
熟悉python/golang 后端开发",深圳南山区朗科大厦
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-15000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/通讯补贴/节日福利/零食下午茶/带薪年假/年度旅游/年终分红/公司氛围好/地铁周边,汉克时代(BringTek)，在互联网、电子商务、能源物流、金融、保险、通讯、电信、教育、ERP等领域积累了丰富的行业经验，与数家国内、国外知名大型企业建立了长期友好的合作关系。 具备全面的信息咨询、解决方案，和为客户提供专业的软件开发和维护、 质量保证和测试、本地化和全球化以及业务帮助客户实现收益,"参与Python web框架搭建与核心代码编写，进行Python、javascript、sql开发，发现和解决开发过程中遇到的性能瓶颈和技术难点。
1、全日制本科及以上学历，2年以上Python web开发经验，精通Flask WEB框架，熟悉Python语言以及常用的类库，具备模块化编程的思维和经验。
2、精通关系型（MySQL）、NoSQL（redis、Mongodb）、消息队列有深入的了解，有基于Python Web的高并发设计和实现经验，熟悉常见开源Python web框架，js框架等
3、面试时携带电脑，讲解做过的项目代码并进行变成测验。",北京市 海淀区 建材城东路 建材城东路16号工行数据中心
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-20000元,五险一金/全勤奖/年终奖/带薪年假/员工旅游/餐补/通讯补贴/交通补助/节日福利/零食下午茶/利润全分/为自己工作/学习赚钱好地,"“信达利（福州）企业管理咨询有限公司”
“南京法信企业管理服务有限公司”
“福建邦利律师事务所”

我司在业界享誉13年，于信用卡委外元年开始业务，至今在业界口碑数一数二，业务100%信用卡。

公司体现为团队为自己工作，共享利","网络信息获取及分析工程师，爬虫工程师
简单讲，你会是公司的合伙人，会是公司信息科技推动人。",南京鼓楼区世贸中心大厦A幢26B10
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-15000元,五险一金/定期体检/股票期权/员工旅游/餐补/节日福利,北京腾信软创科技股份有限公司（股票代码：835363）是一个深受客户信赖的品牌，是一家以中国为基地的软件和IT服务供应商，专长于应用软件开发与维护、软件质量测试/保证、系统架构、业务流程外包服务、软件外包、IT技术服务、互联网络应用、商业智能、人员外派等，公司始终以全球最具竞争力的价格提供最优质的,"工作职责： 必须统招—全日制本科最好一本
15及以前毕业
参与项目前后台程序开发与维护。
人员要求：
熟练掌握Python开发，三年以上Python web开发经验。
熟练掌握Django，Flask等Web开发框架
熟悉Mysql，Redis数据库
熟悉掌握Javascript及前端框架，如JQuery或Vue
了解并掌握Nginx相关知识
岗位基本要求：必备项：统招学历（学信网可查），选择项：北京户口、北京房产或结婚了的、三者占其一",北京顺义区中国民航信息网络股份有限公司
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-15000元,五险一金/定期体检/年终奖/股票期权/带薪年假/员工旅游/节日福利/公司氛围好/扁平管理/带薪年假/地铁周边/领导nice,"Wind是中国金融信息服务领域首屈一指的领导者，始终引领中国该行业的发展，具有无可比拟的市场、技术、服务和品牌优势。二十年来，致力于为金融领域专业人士提供准确及时的数据、资讯和行业沟通平台，总部位于上海陆家嘴。

作为中国规划布局内的重点软件企业，上海大数据交易中心创始股东，中国互联网金融协会创",基于云计算的分布式爬虫平台，会接触到大数据数据处理和传输，分布式处理，大数据存储等最新的技术。要求有深入的网络应用经验，精通http协议，熟悉web开发者优先。,南京建邺区南京新城科技园01栋18楼
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,20000-40000元,五险一金/补充医疗保险/定期体检/年终奖/股票期权/带薪年假/员工旅游/免费班车/餐补/节日福利/股票期权/带薪年假/不打卡/扁平管理/地铁周边/互联网金融/领先技术,蚂蚁金融服务集团（以下称“蚂蚁金服”）起步于2004年成立的支付宝。2014年10月，蚂蚁金服正式成立。蚂蚁金服以“为世界带来微小而美好的改变”为愿景，致力于打造开放的生态系统，通过“互联网推进器计划”助力金融机构和合作伙伴加速,"国际事业群-技术风险部-无线质量部门
测试部门招聘前后端开发，机器学习",上海浦东新区上海中心大厦
